997011533548605171 300   $$a116$$fמעטפה ובה תצלומים
997011533548605171 336   $$atext$$btxt$$2rdacontent
997011533548605171 336   $$astill image$$bsti$$2rdacontent
997011533548605171 337   $$acomputer$$bc$$2rdamedia
997011533548605171 338   $$aonline resource$$bcr$$2rdacarrier
997011533548605171 351   $$cFile Record
997011533548605171 500   $$aמספר מיכל: 1; קוד תיק ארכיון: A003; הערות: שניים מהתצלומים בתיק זה נגישים גם כשקופיות בתיק 66295; ברקוד: 65802;
997011533548605171 5202  $$aבתיק: תצלומי פורטרט של סילביה דוראן כנערה, לבושה בבגדי מחול ספרדי קלאסי. חלק מהתצלומים נעשו בסטודיו מקצועי ביוהנסבורג וחלקם בבית הוריה של דוראן. חלק מהתצלומים מוקדשים לדודתה של דוראן וחתומים בשם נעוריה, Sylviajane Klass. אחד התצלומים שימש ככל הנראה לכתבה אודות דוראן בשבועון Sunday Express
997011533548605171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eנייר תצלום--שחור לבן
997011533548605171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eקרטון
997011533548605171 534   $$pמנשא והפורמט הפיזי של הפריט המקורי.$$eנייר תצלום--צבעוני
997011533548605171 590   $$aמסלולי דיגיטציה: לסורק עד A3;סריקה דו-צדדית: כן;מספר קבצים מוערך: 33.0;
997011533548605171 590   $$asponsor: Batsheva Dance Company
997011533548605171 590   $$aVisual art ready for copyright analysis
997011533548605171 590   $$asponsor: Jerusalem and Heritage
997011533548605171 590   $$asponsor: Landmarks
997011533548605171 590   $$asponsor: The Judaica collection at the Harvard University Library
997011533548605171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533548605171 6102  $$aKodak$$9lat
997011533548605171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
